Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-05-12 09-PM,ETHUSD,190.66,191.33,188.81,191.03,2140.33,406329.52
2019-05-12 08-PM,ETHUSD,187.85,190.89,187,190.66,2319.16,437884.11
2019-05-12 07-PM,ETHUSD,188.65,188.88,186.39,187.85,1440.84,270569.24
2019-05-12 06-PM,ETHUSD,186.12,188.71,185.82,188.65,3679.84,690964.13
2019-05-12 05-PM,ETHUSD,184.23,186.77,184,186.12,2890.32,535711.17
2019-05-12 04-PM,ETHUSD,185.74,186.69,183.79,184.23,2313.25,429033.04
2019-05-12 03-PM,ETHUSD,184.26,186.76,182.64,185.74,6820.64,1258224.29
2019-05-12 02-PM,ETHUSD,189.61,190.91,183.3,184.26,8393.06,1571946.98
2019-05-12 01-PM,ETHUSD,191.28,193.02,189.16,189.61,2717.56,520057.28
2019-05-12 12-PM,ETHUSD,190.42,191.43,188,191.28,8096.37,1535764.49
2019-05-12 11-AM,ETHUSD,191.99,194.01,186.14,190.42,11018.74,2094840.78
2019-05-12 10-AM,ETHUSD,195.32,196.32,190.06,191.99,13085.42,2541192.42
2019-05-12 09-AM,ETHUSD,196.88,199,192.73,195.32,9017.6,1765748.81
2019-05-12 08-AM,ETHUSD,201.79,203.01,189.66,196.88,18050.36,3530259.37
2019-05-12 07-AM,ETHUSD,198.28,204.19,197.86,201.79,6511.68,1315678.14
2019-05-12 06-AM,ETHUSD,197.6,199.78,196.26,198.28,4874.13,965464.59
2019-05-12 05-AM,ETHUSD,194.37,198.46,194.16,197.6,4385.49,860236.6
2019-05-12 04-AM,ETHUSD,194.11,196.12,193.87,194.37,2077.39,404207.22
2019-05-12 03-AM,ETHUSD,192.85,195.31,192.08,194.11,2582.63,500654.34
2019-05-12 02-AM,ETHUSD,194.83,197.13,192.31,192.85,3028.97,592252.35
2019-05-12 01-AM,ETHUSD,190.27,196.29,190.08,194.83,4267.43,827475.51
2019-05-12 12-AM,ETHUSD,192,196.76,186.22,190.27,15763.31,3019399.96
2019-05-11 11-PM,ETHUSD,201.03,207,188.67,192,17331.38,3454315.44
2019-05-11 10-PM,ETHUSD,199.29,203,196.3,201.03,19209.77,3847323.73
2019-05-11 09-PM,ETHUSD,198.45,199.86,195.2,199.29,3401.28,671544.2
2019-05-11 08-PM,ETHUSD,195.72,199,195.72,198.45,8862.15,1751907.96
2019-05-11 07-PM,ETHUSD,197.42,197.46,194.27,195.72,7888.62,1545739.08
2019-05-11 06-PM,ETHUSD,199.26,200,195.88,197.42,8472.86,1678352.76
2019-05-11 05-PM,ETHUSD,190.62,199.66,188.53,199.26,10320.34,2004478.0
2019-05-11 04-PM,ETHUSD,192.71,192.71,190,190.62,6225.13,1190610.01
2019-05-11 03-PM,ETHUSD,189.42,192.98,188.9,192.71,4921.04,940474.91
2019-05-11 02-PM,ETHUSD,190.01,190.18,187.67,189.42,3560.22,672180.57
2019-05-11 01-PM,ETHUSD,188.49,190.54,187.72,190.01,4420.4,834913.47
2019-05-11 12-PM,ETHUSD,188.89,189.96,186.8,188.49,2862.77,539584.82
2019-05-11 11-AM,ETHUSD,191.98,193.18,187.99,188.89,8688.68,1654557.17
2019-05-11 10-AM,ETHUSD,185.51,194.55,185.51,191.98,14516.55,2774677.66
2019-05-11 09-AM,ETHUSD,183.65,185.51,183.3,185.51,9169.1,1691875.62
2019-05-11 08-AM,ETHUSD,177.36,185.68,177.08,183.65,14209.03,2597062.06
2019-05-11 07-AM,ETHUSD,177.37,178.53,176.82,177.36,2930.14,520593.45
2019-05-11 06-AM,ETHUSD,176.4,178.86,175.47,177.37,13886.7,2450990.7
2019-05-11 05-AM,ETHUSD,175.39,177.37,174.33,176.4,2973.19,523826.83
2019-05-11 04-AM,ETHUSD,176.03,176.55,172.04,175.39,1870.99,327115.21
2019-05-11 03-AM,ETHUSD,176.26,176.69,175.24,176.03,2247.51,395327.87
2019-05-11 02-AM,ETHUSD,175.46,177.68,173.53,176.26,5720.07,1003771.05
2019-05-11 01-AM,ETHUSD,174.29,175.46,173.4,175.46,972.06,169519.93
2019-05-11 12-AM,ETHUSD,172.3,174.6,172.21,174.29,1110.92,193086.42
2019-05-10 11-PM,ETHUSD,173.4,173.4,171.76,172.3,1215.76,209333.98
2019-05-10 10-PM,ETHUSD,172.11,173.49,171.68,173.4,891.37,153695.5
2019-05-10 09-PM,ETHUSD,171.52,172.65,170.33,172.11,3112.15,534912.31
2019-05-10 08-PM,ETHUSD,174.89,175.81,168.8,171.52,7129.17,1225547.75
2019-05-10 07-PM,ETHUSD,174.46,175.41,173.73,174.89,1769.34,308514.09
2019-05-10 06-PM,ETHUSD,175.7,176.12,173.52,174.46,4306.61,753104.54
2019-05-10 05-PM,ETHUSD,173.17,175.98,172.3,175.7,5140.9,896173.31
2019-05-10 04-PM,ETHUSD,172.3,173.81,171.67,173.17,3534.21,610700.01
2019-05-10 03-PM,ETHUSD,171,172.54,170.7,172.3,3130.56,535946.91
2019-05-10 02-PM,ETHUSD,171.7,171.84,170.58,171,3103.87,531064.77
2019-05-10 01-PM,ETHUSD,171.39,171.89,170.8,171.7,4501.03,772524.96
2019-05-10 12-PM,ETHUSD,171.99,172.07,170.95,171.39,4365.05,748602.88
2019-05-10 11-AM,ETHUSD,172.27,172.74,171.61,171.99,1015.06,174677.36
2019-05-10 10-AM,ETHUSD,173.23,173.72,172.01,172.27,933.55,161355.25
2019-05-10 09-AM,ETHUSD,172.39,173.38,171.55,173.23,1379.85,237808.98
2019-05-10 08-AM,ETHUSD,174.28,175.41,171.6,172.39,3932.07,680204.59
2019-05-10 07-AM,ETHUSD,174.4,174.69,173.65,174.28,3534.61,615631.78
2019-05-10 06-AM,ETHUSD,174.59,174.76,173.66,174.4,2856.79,497633.11
2019-05-10 05-AM,ETHUSD,175.27,175.32,173.39,174.59,2370.2,413201.57
2019-05-10 04-AM,ETHUSD,170.66,175.58,170,175.27,8426.53,1464799.82
2019-05-10 03-AM,ETHUSD,170.65,172.06,169.22,170.66,5925.06,1011306.88
2019-05-10 02-AM,ETHUSD,169.6,171.31,168.87,170.65,3531.99,600817.47
2019-05-10 01-AM,ETHUSD,168.88,169.6,167.41,169.6,2195.68,370149.23
2019-05-10 12-AM,ETHUSD,170.18,170.52,168.53,168.88,1179.7,200279.62
2019-05-09 11-PM,ETHUSD,170.48,171.55,169.69,170.18,2374.14,404495.38
2019-05-09 10-PM,ETHUSD,168.5,170.48,167.54,170.48,2443.23,411415.82
2019-05-09 09-PM,ETHUSD,168.1,169.48,167.61,168.5,1511.12,254992.5
2019-05-09 08-PM,ETHUSD,166.89,168.24,166.35,168.1,2632.34,439884.49
2019-05-09 07-PM,ETHUSD,166.45,167.23,166.11,166.89,1282.33,213746.61
2019-05-09 06-PM,ETHUSD,166.68,166.83,165.23,166.45,2501.03,415259.77
2019-05-09 05-PM,ETHUSD,167.59,167.61,166.36,166.68,2943.81,491358.38
2019-05-09 04-PM,ETHUSD,167.5,167.95,167.05,167.59,1918.91,321445.46
2019-05-09 03-PM,ETHUSD,167.78,167.9,166.73,167.5,1528.01,255593.34
2019-05-09 02-PM,ETHUSD,168.41,168.41,167.26,167.78,2215.82,371797.67
2019-05-09 01-PM,ETHUSD,167.8,168.59,165.98,168.41,3162.72,529065.09
2019-05-09 12-PM,ETHUSD,169.22,169.22,167.1,167.8,6854.94,1151028.17
2019-05-09 11-AM,ETHUSD,170.16,170.16,168.82,169.22,1420.46,240538.03
2019-05-09 10-AM,ETHUSD,170.27,170.38,169.64,170.16,409.09,69570.27
2019-05-09 09-AM,ETHUSD,170.43,170.53,169.39,170.27,1296.77,220421.35
2019-05-09 08-AM,ETHUSD,169.39,170.92,169.1,170.43,1600.02,272376.15
2019-05-09 07-AM,ETHUSD,169.52,170.06,168.88,169.39,1117.37,189236.02
2019-05-09 06-AM,ETHUSD,169.66,169.95,168.11,169.52,1750.47,295817.39
2019-05-09 05-AM,ETHUSD,171.32,171.75,169.17,169.66,1722.17,293130.11
2019-05-09 04-AM,ETHUSD,170.7,171.32,170.45,171.32,497.58,85022.84
2019-05-09 03-AM,ETHUSD,171.25,171.42,170.36,170.7,1039.9,177647.72
2019-05-09 02-AM,ETHUSD,172.03,172.1,171.01,171.25,889.06,152619.64
2019-05-09 01-AM,ETHUSD,171.33,173.5,170.45,172.03,2865.32,492301.81
2019-05-09 12-AM,ETHUSD,169.61,171.79,168.67,171.33,2083.26,354806.88
2019-05-08 11-PM,ETHUSD,170.46,172.01,167.1,169.61,4067.61,689698.81
2019-05-08 10-PM,ETHUSD,168.84,171.51,168.21,170.46,2694.96,459161.25
2019-05-08 09-PM,ETHUSD,168.51,169.3,168.09,168.84,1028.97,173611.68
2019-05-08 08-PM,ETHUSD,167.96,168.51,167.13,168.51,1069.67,179486.35
2019-05-08 07-PM,ETHUSD,167.53,168.53,167.07,167.96,1159.12,194545.76
2019-05-08 06-PM,ETHUSD,167.33,167.74,166.64,167.53,1344.48,224736.77
2019-05-08 05-PM,ETHUSD,167.45,168.23,166.59,167.33,444.28,74397.75
2019-05-08 04-PM,ETHUSD,168.62,169.01,167.18,167.45,1652.9,278120.79
2019-05-08 03-PM,ETHUSD,167.89,169.11,167.62,168.62,4586.96,773447.19
2019-05-08 02-PM,ETHUSD,168.38,168.4,166,167.89,4078.47,682049.98
2019-05-08 01-PM,ETHUSD,168.99,169,167.9,168.38,2170.02,365435.23
2019-05-08 12-PM,ETHUSD,168.81,169.32,168.21,168.99,2765.35,466923.98
2019-05-08 11-AM,ETHUSD,168.31,169.35,167.75,168.81,2166.84,365635.68
2019-05-08 10-AM,ETHUSD,168.15,168.99,167.39,168.31,4159.12,699456.44
2019-05-08 09-AM,ETHUSD,167.76,168.43,167.56,168.15,3683.91,618961.18
2019-05-08 08-AM,ETHUSD,167.81,168.79,166.79,167.76,4601.63,772559.32
2019-05-08 07-AM,ETHUSD,169.05,169.35,167.5,167.81,1823.84,306878.03
2019-05-08 06-AM,ETHUSD,168.64,169.97,168.49,169.05,1493.43,252795.4
2019-05-08 05-AM,ETHUSD,168.27,168.96,166.9,168.64,1188.74,199635.86
2019-05-08 04-AM,ETHUSD,166.64,168.67,166.59,168.27,1163.59,195127.54
2019-05-08 03-AM,ETHUSD,166.82,167.06,166.04,166.64,1049.67,174875.8
2019-05-08 02-AM,ETHUSD,166.74,167.91,166.57,166.82,3260.34,544769.11
2019-05-08 01-AM,ETHUSD,165.37,167.1,164.82,166.74,2457.57,408940.25
2019-05-08 12-AM,ETHUSD,166.15,166.32,162.25,165.37,11282.37,1853724.24
2019-05-07 11-PM,ETHUSD,172.56,173.55,165.02,166.15,15612.68,2624839.04
2019-05-07 10-PM,ETHUSD,171.91,172.92,170.83,172.56,1105.85,189721.69
2019-05-07 09-PM,ETHUSD,170.12,172.37,170.04,171.91,1251.67,214469.96
2019-05-07 08-PM,ETHUSD,169.67,171.48,169.48,170.12,2230.9,380834.08
2019-05-07 07-PM,ETHUSD,170.33,170.69,168.66,169.67,5861.66,993047.53
2019-05-07 06-PM,ETHUSD,171.65,171.74,169.83,170.33,11215.05,1920423.02
2019-05-07 05-PM,ETHUSD,173.11,173.21,171.35,171.65,3789.86,652777.97
2019-05-07 04-PM,ETHUSD,172.04,173.66,171.4,173.11,2998.49,517841.76
2019-05-07 03-PM,ETHUSD,171.48,172.06,170.07,172.04,2657.15,455027.92
2019-05-07 02-PM,ETHUSD,177.43,178,168.22,171.48,14680.89,2526570.06
2019-05-07 01-PM,ETHUSD,176.34,177.61,175.48,177.43,2088.56,368304.89
2019-05-07 12-PM,ETHUSD,176.33,177.01,175.44,176.34,4025.37,709000.45
2019-05-07 11-AM,ETHUSD,176.14,176.55,174.66,176.33,2229.72,391543.62
2019-05-07 10-AM,ETHUSD,177.04,177.64,175.66,176.14,2554.9,450605.58
2019-05-07 09-AM,ETHUSD,175.16,177.66,174.72,177.04,2991.14,527809.19
2019-05-07 08-AM,ETHUSD,175.51,176.35,174.66,175.16,2469.44,433050.43
2019-05-07 07-AM,ETHUSD,176.46,176.54,174.31,175.51,5987.91,1051850.85
2019-05-07 06-AM,ETHUSD,175.54,177.31,175.36,176.46,2241.77,395461.79
2019-05-07 05-AM,ETHUSD,176.98,177.68,175.35,175.54,4639.58,819430.54
2019-05-07 04-AM,ETHUSD,177.96,177.96,175.72,176.98,2062.46,365254.87
2019-05-07 03-AM,ETHUSD,178.24,178.97,177.03,177.96,2750.17,489242.68
2019-05-07 02-AM,ETHUSD,177.61,179.26,177.14,178.24,3336.96,594599.78
2019-05-07 01-AM,ETHUSD,179.3,180.24,177.44,177.61,3884.75,694004.38
2019-05-07 12-AM,ETHUSD,171.21,180.74,171.21,179.3,11997.78,2127520.9
2019-05-06 11-PM,ETHUSD,173.32,173.35,171.16,171.21,934.75,160982.46
2019-05-06 10-PM,ETHUSD,173.29,173.72,172.86,173.32,625.69,108422.84
2019-05-06 09-PM,ETHUSD,173.28,173.48,172.69,173.29,1412.96,244661.05
2019-05-06 08-PM,ETHUSD,173.46,173.55,172.48,173.28,2361.09,408135.88
2019-05-06 07-PM,ETHUSD,174.27,174.78,172.83,173.46,1195.24,207749.26
2019-05-06 06-PM,ETHUSD,173.82,174.48,173.13,174.27,5131.94,890767.22
2019-05-06 05-PM,ETHUSD,173.58,174.36,172.56,173.82,11188.81,1941606.08
2019-05-06 04-PM,ETHUSD,168.34,175.98,168.34,173.58,17032.53,2949292.78
2019-05-06 03-PM,ETHUSD,165.64,168.81,165.34,168.34,3969.36,663459.59
2019-05-06 02-PM,ETHUSD,162.88,166.78,162.8,165.64,3989.05,658057.39
2019-05-06 01-PM,ETHUSD,162.41,163.31,162.34,162.88,2352.82,383433.14
2019-05-06 12-PM,ETHUSD,163.43,163.66,162.04,162.41,7073.86,1152107.05
2019-05-06 11-AM,ETHUSD,162.21,163.98,161.98,163.43,882.25,143890.02
2019-05-06 10-AM,ETHUSD,161.74,163.5,161.71,162.21,1850.97,300797.92
